cod_art;descripcion;origen
010101;Banana Brasil (super);Brasil
010102;Banana Brasil fibra;Brasil
010103;Banana Brasil Ok;Brasil
010401;Banana Paraguay Primera;Paraguay
010402;Banana Paraguay Segunda;Paraguay
010701;Banana Ecuador (Super);Ecuador
010702;Banana Ecuador Bonita;Ecuador
010703;Banana Bolivia Tuly;Bolivia
030100;Choclo Importado x 2;
030103;Choclo importado x 2 (Super);
0802231;Kiwi Chile Calibre 23 al 27 Cat 1;Chile
0802272;Kiwi (Super);
090901;Jengibre Brasil;Brasil
090902;Jengibre (Super);
090904;Cúrcuma Brasil;Brasil
090905;Cúrcuma Br 5k (Súper);
111201;Lima;
120401;Piña (Super);
120705;Piña Ecuador Calibre 5;Ecuador
120706;Piña Ecuador Calibre 6;Ecuador
120707;Piña Ecuador Calibre 7;Ecuador
120708;Piña Ecuador Calibre 8;Ecuador
120709;Piña Ecuador Calibre 9;Ecuador
150101;Lima Brasil;Brasil
150102;Lima (Super);
250101;Papaya Formosa Brasil;Brasil
270101;Uva Blanca s/s Brasil x 8kg;Brasil
270102;Uva Negra s/s Brasil x 8 kg;Brasil
270103;Uva Rosada s/s Brasil x 8 kg;Brasil
270207;Uva rosada;
311208;Pomelo;
600101;Palta Brasil Cal. 60;Brasil
600103;Palta Brasil Cal. 70;Brasil
600104;Palta Brasil Cal. 84;Brasil
600106;Palta Brasil Cal. 50 X 14 Kg;Brasil
600107;Palta Brasil Cal. 48 X 10 Kg;Brasil
600248;Palta 60 HASS (Super);
750101;Coco Brasil;Brasil
760702;Platano Ecuador (Super);Ecuador
760704;Platano Ecuador 22 Kilos;Ecuador
890202;Arandanos (Super);
890501;Arandanos Perú;Perú
900103;Mango Tomy Brasil;Brasil
940104;Melon Valenciano Brasil;Brasil
951401;Kaki;
961401;Ciruela España;España
970101;Mani tostado;
970102;Maní tostado Malla 500G.;
980101;Sandia;
981002;Sandia (Super);
D01;Dto. Bananas madera;
