orden;categoria;icono;palabras_que_mapean
1;Banana;banana;banana, bananas
2;Kiwi;kiwi;kiwi
3;Cebolla;cebolla;cebolla, cebollas, cebollin, cebollines, verdeo
4;Ajo;ajo;ajo, ajos
5;Papa;papa;papa, papas
6;Boniato;boniato;boniato, boniatos
7;Zanahoria;zanahoria;zanahoria, zanahorias
8;Choclo;choclo;choclo, choclos
9;Espárrago;esparrago;esparrago, esparragos
10;Jengibre;jengibre;jengibre
11;Limón;limon;limon, limones
12;Lima;lima;lima, limas
13;Naranja;naranja;naranja, naranjas
14;Pomelo;pomelo;pomelo, pomelos
15;Uva;uva;uva, uvas
16;Pera;pera;pera, peras
17;Manzana;manzana;manzana, manzanas
18;Papaya;papaya;papaya, papayas
19;Mango;mango;mango, mangos
20;Piña;pina;pina, pinas, abacaxi, anana, ananas
21;Sandía;sandia;sandia, sandias
22;Melón;melon;melon, melones
23;Durazno;durazno;durazno, duraznos, melocoton, nectarin, nectarines, nectarina, nectarinas
24;Ciruela;ciruela;ciruela, ciruelas
25;Palta;palta;palta, paltas, aguacate
26;Arándanos;arandanos;arandano, arandanos
27;Plátano;banana;platano, platanos
28;Morrón;morron;morron, morrones, pimiento, pimientos
29;Tomate;tomate;tomate, tomates
30;Coco;coco;coco, cocos
31;Maní;mani;mani, manies
32;Cereza;cereza;cereza, cerezas
33;Mandarina;naranja;mandarina, mandarinas
34;Caqui;caqui;caqui, caquis, kaki, kakis
35;Pitaya;pitaya;pitaya, pitayas, pitahaya, pitahayas
36;Mandioca;mandioca;mandioca, mandiocas, yuca, yucas
37;Cúrcuma;jengibre;curcuma, curcumas
38;Frutilla;frutilla;frutilla, frutillas, fresa, fresas
39;Zapallo;zapallo;zapallo, zapallos, cabutia, kabutia, calabaza, calabazas
40;Zapallito;zapallito;zapallito, zapallitos
41;Zucchini;pepino;zucchini, zuchini, calabacin, calabacines
42;Papín;papa;papin, papines
43;Berenjena;berenjena;berenjena, berenjenas
44;Pepino;pepino;pepino, pepinos
