pais;clasificacion_operativa;embalaje;nota
Brasil;Banana;madera;clasificación base
Brasil;Banana Brasil Ok;madera;
Brasil;Banana Brasil Fibra;madera;
Brasil;Palta Brasil;madera;
Paraguay;Banana Paraguay;madera;
Paraguay;Banana Paraguay Primera;madera;
Paraguay;Banana Paraguay Segunda;madera;
Paraguay;Banana Paraguay Pepe;madera;
Bolivia;Banana Bolivia;madera;
Bolivia;Banana Bolivia Suprema;madera;
Bolivia;Banana Bolivia Beefrut;madera;
Bolivia;Banana Bolivia Porvenir;madera;
Ecuador;Banana Ecuador;carton;
Ecuador;Banana Ecuador Bonita;carton;
Ecuador;Banana Ecuador Pepe;carton;
Ecuador;Banana Ecuador Bagno;carton;
Peru;Palta Peru;;ultramar/terrestre segun origen
Mexico;Palta Mexico;;
