productor;iniciales
Ulgo;HG
Exoticos PY;
Claudia;CH
Gilson;GT
Jaime;JM
Papa;PA
Boniato;BO
Sidnei;SR
Benini;BN
Valdemar;VH
Valdemar Ita;VA
Adriano;AD
Varios;VA
Nordeste;ND
Corupá;CP
Jhony Viera;JV
Muller;MU
Sergio;SG
Vitor;VM
Marconi Kons;MK
Ivo Zimerman;IZ
Banana MG;MG
A Confirmar;
Paraguay;PY
Paraguay EC;PYE
Paraguay OP;PYO
Paraguay MS;PYM
Paraguay GM;GM
Paraguay DF;DF
Jorge Marangoni;JM
Paraguay HF;HF
Paraguay SF;SF
Bolivia Tuli;BT
João Claudio Winter;JW
Osnildo Stein;ST
Zapellini;ZP
Fischer;FH
Tureck;TK
Chicolandia;
Josemar Provesi;JP
Cebolla;CE
Abacaxi;AB
AgroBianvirc;BRSP
Cobalchini;CB
Junkes;JS
Wagner Schveitzer;WC
Banana Combinada;
BAHIA;BA
Banana SP;BRSP
Bahia + Exoticos;BA
Marnei Meurer;MM
Cassio Hauck;
Aldo Corupa;AC
Alexandre Wilbert;AW
Vinicios Bonkoski;VB
Furlani;FU
Airton Curuca;
